version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,4360,4361,4361
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,4543,4544,4544
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,4641,4641,4641
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,4348,4349,4355
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,4505,4506,4512
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,4488,4489,4495
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,4399,4406,4413
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,4406,4406,4407
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,4390,4391,4391
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,4383,4384,4384
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,4402,4404,4409
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,4373,4440,4693
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,4378,4388,4395
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,4398,4399,4405
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,4361,4382,4405
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,4307,4308,4314
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,4292,4295,4297
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,4646,4648,4648
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,4565,4566,4567
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,4366,4386,4422
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,4367,4368,4368
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,4353,4354,4354
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,4376,4376,4376
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,4364,4366,4366
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,4403,4404,4404
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,4395,4405,4422
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,4301,4335,4367
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,4462,4476,4499
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,4608,4608,4609
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,4596,4597,4597
3.10.0-RC1-bin-20260713-f51c618-NIGHTLY,20,4612,4613,4613
3.10.0-RC1-bin-20260714-7983fe7-NIGHTLY,20,4588,4589,4595
3.10.0-RC1-bin-20260715-5f24bf2-NIGHTLY,20,4888,4890,4890
3.10.0-RC1-bin-20260716-61591f7-NIGHTLY,20,4809,4809,4809
3.10.0-RC1-bin-20260717-a6f2c88-NIGHTLY,20,4587,4588,4595
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,4835,4835,4835
