version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,240.5,240.5,240.5
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,240.5,240.6,240.6
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,241.1,241.1,241.1
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,240.9,241.7,242.9
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,241.4,241.9,242.3
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,240.7,240.8,240.9
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,248.2,248.4,248.6
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,248.5,248.6,248.7
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,248.6,248.7,248.8
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,291,291.1,291.2
