version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,30.7,30.71,30.71
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,30.59,30.59,30.6
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,30.74,30.74,30.74
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,32.76,32.81,32.85
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,32.67,32.8,32.91
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,32.75,32.76,32.76
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,34.53,34.58,34.64
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,34.39,34.39,34.4
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,34.65,34.65,34.66
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,61.56,61.56,61.57
