version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,13,193,699
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,4,156.9,768
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,2,172,875
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,5,182.2,816
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,7,189.7,940
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,2,194.7,984
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,2,201.3,1324
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,7,224.6,835
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,4,164.4,643
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,4,191.5,959
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,14,169.9,608
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,100,3,204.7,1026
