version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,32,176.4,549
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,13,169,515
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,20,164.2,549
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,12,177.1,519
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,14,160.5,482
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,20,188.6,594
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,14,180.2,684
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,11,165.5,575
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,18,186.1,566
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,21,179,601
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,12,164,530
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,12,171.3,602
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,9,173.8,561
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,25,164.8,630
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,12,177.5,553
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,14,181,527
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,12,172.9,495
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,22,158.7,419
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,16,187,490
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,11,180.8,587
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,9,177.4,582
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,17,191.1,558
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,14,158.3,442
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,14,177.8,455
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,14,165.9,518
