version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,65,276.7,1623
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,80,278.6,1161
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,73,270.2,1222
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,69,272.6,1187
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,68,248.2,1250
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,68,261.9,1314
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,64,255.2,1189
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,50,233.4,1221
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,69,248.4,1357
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,65,245.6,977
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,69,254,1114
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,63,262.9,1449
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,47,267.8,1396
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,63,243.3,935
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,54,257,1369
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,62,245,1063
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,63,266.4,1384
