version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,1,23.55,69
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,0,24.3,59
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,0,23.25,58
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,1,23.6,57
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,0,22.3,59
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,1,22.83,58
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,0,22.5,62
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,0,23.15,68
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,0,23.5,59
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,1,21.2,58
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,0,24.3,58
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,80,0,24.12,73
