version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,4499,4546,4650
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,4458,4497,4586
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,4521,4563,4739
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,4615,4645,4811
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,4558,4560,4564
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,4486,4528,4578
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,4499,4562,4731
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,4459,4492,4648
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,4508,4557,4673
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,4478,4563,4699
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,4450,4573,4971
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,4517,4629,4976
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,4499,4552,4744
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,4569,4576,4587
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,4481,4570,4881
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,4561,4656,4817
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,4517,4568,4637
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,4541,4554,4571
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,4519,4523,4528
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,4494,4588,4947
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,4585,4593,4622
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,4557,4619,4734
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,4562,4614,4797
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,4544,4553,4593
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,4607,4613,4621
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,4559,4608,4962
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,4536,4591,4741
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,4633,4710,4927
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,4662,4691,4870
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,4607,4661,4777
