version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,1773,1804,1829
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,1788,1807,1976
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,1793,1805,1825
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,1816,1855,1976
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,1806,1823,1851
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,1769,1790,1912
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,1792,1816,1940
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,1838,1858,1877
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,1792,1808,1831
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,1801,1810,1823
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,1790,1812,1840
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,1794,1825,1924
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,1784,1832,1951
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,1809,1839,1868
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,1765,1810,2018
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,1789,1823,1929
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,1830,1859,2037
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,1801,1845,1957
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,1789,1797,1822
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,1804,1830,1893
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,1818,1840,1875
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,1807,1847,1993
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,1788,1801,1821
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,1785,1824,1869
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,1829,1856,1894
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,1798,1832,1982
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,1783,1801,2006
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,1873,1927,2221
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,1919,1932,1957
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,1911,1917,1929
3.10.0-RC1-bin-20260713-f51c618-NIGHTLY,20,1878,1902,1924
3.10.0-RC1-bin-20260714-7983fe7-NIGHTLY,20,1855,1862,1876
3.10.0-RC1-bin-20260715-5f24bf2-NIGHTLY,20,1900,1912,1939
