version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,5022,5082,5236
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,5027,5075,5155
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,4976,5037,5480
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,5146,5205,5412
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,5107,5178,5495
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,4955,5058,5431
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,5009,5095,5289
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,5076,5087,5101
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,5094,5108,5127
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,5098,5108,5120
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,5006,5051,5120
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,5025,5143,5474
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,5044,5124,5441
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,5097,5122,5178
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,4945,5069,5401
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,5048,5111,5273
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,5059,5091,5309
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,5098,5208,5648
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,4977,5059,5245
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,4973,5093,5451
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,5073,5105,5360
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,5113,5126,5151
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,5051,5083,5228
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,5036,5179,5505
