version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,1136,1146,1161
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,1115,1131,1152
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,1116,1130,1194
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,1124,1139,1220
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,1123,1127,1151
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,1153,1189,1567
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,1131,1149,1203
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,1134,1151,1272
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,1114,1136,1209
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,1137,1159,1237
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,1114,1118,1122
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,1136,1174,1497
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,1122,1152,1286
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,1120,1128,1143
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,1106,1149,1373
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,1127,1138,1206
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,1130,1162,1296
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,1138,1153,1160
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,1157,1163,1172
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,1127,1152,1255
