version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,347.2,355.1,392.8
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,351.9,358.1,380.9
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,338.4,341.9,354.2
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,345.4,348.9,361.3
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,345,348.2,353.3
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,340.5,357.5,396.1
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,344.4,351.5,369.3
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,342.3,352.8,370.1
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,338.1,341.5,351.7
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,346.5,355.6,396.4
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,342.7,345.8,363.9
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,345.7,360.9,415.4
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,338.8,350.6,372.5
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,336.9,347.8,375
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,344.6,358.2,407.2
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,343.5,351.3,376.1
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,343.4,357.9,412.2
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,358.9,381,545.7
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,350,353.9,367
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,341.7,361.3,378.1
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,347.4,350.5,359.3
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,351.9,356.1,365.5
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,351.8,357.9,376.5
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,345.1,350.4,367.8
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,370.3,373.8,380.8
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,346,349.7,364.8
