version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,160,162.7,169
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,155.9,156.9,158.9
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,164.9,166.5,167.6
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,161.8,168.3,179.5
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,159.3,163.8,176.1
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,162.5,163.3,164.3
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,159.8,162.3,168.5
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,157.5,158.3,159
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,161.4,163.5,177.8
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,207.8,216.3,227.6
