version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,151,152.3,157.3
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,147.4,148.6,149.5
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,146.9,148.2,150.4
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,147.5,152.6,159.6
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,147.3,150.1,169.9
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,150.6,152.1,153.4
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,148.4,150.9,160.2
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,150,151.7,155.5
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,152.3,153.9,155.3
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,195.5,197.6,199.5
