version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,10,14.51,14.53,14.57
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,10,14.5,14.54,14.57
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,10,14.64,14.74,14.95
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,30,14.45,14.6,14.88
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,30,14.59,14.72,15.12
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,10,14.55,14.62,14.94
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,30,14.5,14.6,14.79
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,10,14.57,14.62,14.67
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,10,14.51,14.55,14.59
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,10,14.72,14.85,15.2
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,10,14.73,14.85,15.02
