version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,10,79.31,79.36,79.46
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,10,76.49,76.62,76.76
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,10,76.54,76.63,76.72
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,30,78.79,79.06,79.44
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,30,75.32,76.15,76.79
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,10,80.42,80.52,80.58
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,30,75.74,77.15,79.25
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,10,76.64,76.83,77.07
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,10,75.87,76.31,76.54
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,10,76.54,76.6,76.74
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,10,75.07,75.21,75.37
