version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,44.76,44.76,44.76
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,44.79,44.79,44.79
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,44.78,44.78,44.79
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,46.71,46.73,46.75
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,46.74,46.77,46.8
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,46.83,46.83,46.83
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,50.64,50.72,50.77
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,50.74,50.74,50.75
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,50.8,50.8,50.8
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,83.55,83.55,83.55
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,83.56,83.56,83.57
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,110,83.22,83.99,84.46
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,83.26,83.26,83.26
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,84.46,84.46,84.46
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,84.43,84.43,84.43
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,83.37,83.89,84.41
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,83.46,83.46,83.46
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,20,78.67,78.67,78.67
