version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,47.52,47.52,47.52
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,47.39,47.39,47.4
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,47.59,47.6,47.61
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,49.24,49.33,49.4
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,49.19,49.26,49.34
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,49.14,49.14,49.15
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,53.06,53.14,53.22
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,52.96,52.97,52.97
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,53.11,53.11,53.12
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,85.84,85.84,85.85
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,87.05,87.05,87.05
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,110,86.08,87.21,87.45
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,86.08,86.08,86.08
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,87.5,87.5,87.51
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,87.37,87.38,87.38
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,86.21,86.78,87.34
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,87.32,87.32,87.32
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,20,83.07,83.13,83.2
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,83.08,83.08,83.09
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,83.14,83.19,83.23
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,55.15,55.16,55.16
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,55.47,55.47,55.47
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,73.35,73.36,73.37
