version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,38.86,38.87,38.87
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,38.95,38.95,38.96
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,38.95,38.95,38.95
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,40.85,40.96,41.02
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,40.98,40.99,41.01
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,41.01,41.02,41.02
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,43.9,43.91,43.92
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,43.84,43.84,43.84
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,43.74,43.74,43.75
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,72.54,72.54,72.54
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,71.73,71.73,71.74
