version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,45.38,45.38,45.39
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,45.38,45.38,45.39
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,45.15,45.16,45.17
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,46.71,46.77,46.89
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,46.69,46.8,46.91
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,46.92,46.93,46.93
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,49.96,50.03,50.1
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,50.1,50.1,50.11
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,50.09,50.09,50.1
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,76.33,76.33,76.34
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,76.43,76.44,76.44
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,110,76.72,77.38,77.93
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,78.03,78.03,78.03
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,77.12,77.12,77.13
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,76.99,76.99,76.99
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,76.86,76.92,76.97
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,78.09,78.09,78.1
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,20,72.14,72.19,72.24
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,72.18,72.18,72.19
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,72.06,72.07,72.08
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,50.92,50.92,50.93
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,51,51,51.01
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,81.94,81.94,81.95
3.10.0-RC1-bin-20260817-3adfcbd-NIGHTLY,30,81.4,81.61,81.76
3.10.0-RC1-bin-20260823-e47290a-NIGHTLY,10,79.51,79.51,79.51
