version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,0,55.35,163
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,0,51.55,176
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,2,56.4,162
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,0,60.72,186
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,0,53.22,180
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,0,53.4,179
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,2,61.17,205
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,4,67.1,212
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,5,61.3,184
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,2,71,332
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,5,67.95,175
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,110,2,96.07,282
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,9,73.1,172
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,16,131.9,279
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,11,96.4,197
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,10,106.5,241
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,14,136.5,250
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,20,3,71.9,190
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,10,95,312
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,14,103.4,260
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,12,95.6,220
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,0,83.4,177
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,3,85.5,270
