version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,0,33,110
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,0,24.95,109
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,0,36.05,116
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,0,33.62,133
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,0,34.42,108
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,1,39.65,103
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,0,31.77,110
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,0,36.5,108
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,1,43.3,129
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,1,31.85,123
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,1,37.1,162
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,110,0,31.88,124
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,2,38.8,117
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,1,34.9,115
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,2,34.5,110
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,1,30.25,116
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,2,35.3,105
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,10,2,38.8,118
