version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,0,1.5,7
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,0,1.35,6
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,0,2,13
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,0,1.467,6
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,0,1.65,9
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,0,1.6,6
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,0,1.483,6
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,0,2.25,14
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,0,1.55,6
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,0,1.35,6
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,0,1.6,6
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,60,0,1.633,7
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,0,1.9,5
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,0,1.3,5
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,0,1.3,5
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,0,1.35,5
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,0,1.8,7
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,0,1.3,5
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,0,1.65,6
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,0,1.4,5
