version,count,min,avg,max
3.10.0-RC1-bin-20260527-2d9fc64-NIGHTLY,20,582.1,590,641.7
3.10.0-RC1-bin-20260528-7d0d3db-NIGHTLY,20,571.6,575.1,577.6
3.10.0-RC1-bin-20260529-d403f31-NIGHTLY,20,567.7,574.5,645
3.10.0-RC1-bin-20260530-db74ff5-NIGHTLY,20,572.3,574.1,575.9
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,568.1,570.8,577.9
3.10.0-RC1-bin-20260601-14e2cb8-NIGHTLY,40,574.3,584.4,661.9
3.10.0-RC1-bin-20260603-466fa59-NIGHTLY,40,579.6,589.1,607
3.10.0-RC1-bin-20260605-0ef4809-NIGHTLY,20,578.5,582.1,589.8
3.10.0-RC1-bin-20260606-dec42ae-NIGHTLY,20,569.8,574.3,583.5
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,579.8,588.6,600.4
3.10.0-RC1-bin-20260608-e694d83-NIGHTLY,20,584.2,591.5,601
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,140,573.9,584.6,668.6
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,80,580.6,589.5,598.8
3.10.0-RC1-bin-20260617-6ad8738-NIGHTLY,20,573.1,582.3,608.7
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,100,578.9,590.2,636.5
3.10.0-RC1-bin-20260620-f157aa2-NIGHTLY,20,589.5,595,604.3
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,40,573.6,584.9,594.9
3.10.0-RC1-bin-20260623-225be3c-NIGHTLY,20,587.3,591,597.4
3.10.0-RC1-bin-20260624-3f638dd-NIGHTLY,20,578.7,580.4,581.8
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,80,569.8,581.6,630.5
3.10.0-RC1-bin-20260626-20f6657-NIGHTLY,20,596,617.2,622.2
3.10.0-RC1-bin-20260627-e449094-NIGHTLY,20,572.2,577.9,588
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,580.9,583.6,597.5
3.10.0-RC1-bin-20260629-338b88b-NIGHTLY,20,586.4,587.7,589.4
3.10.0-RC1-bin-20260630-a8ae375-NIGHTLY,20,583.5,591.5,673.9
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,60,581.5,592.6,674.6
3.10.0-RC1-bin-20260706-30ca358-NIGHTLY,40,596.4,602.6,614.3
3.10.0-RC1-bin-20260707-a4dab1a-NIGHTLY,60,631.2,645.4,717.7
3.10.0-RC1-bin-20260711-702fa74-NIGHTLY,20,642.2,645,646.5
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,641.6,644.6,647
3.10.0-RC1-bin-20260713-f51c618-NIGHTLY,20,637.4,639.3,640.7
3.10.0-RC1-bin-20260714-7983fe7-NIGHTLY,20,644.3,646.5,647.8
3.10.0-RC1-bin-20260715-5f24bf2-NIGHTLY,20,651.1,655,662
3.10.0-RC1-bin-20260716-61591f7-NIGHTLY,20,652.3,655.8,658.3
3.10.0-RC1-bin-20260717-a6f2c88-NIGHTLY,20,644.3,646.3,648.4
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,40,645,650.3,662.3
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,130,633.1,644.1,663.4
3.10.0-RC1-bin-20260721-03f6bdd-NIGHTLY,10,641.1,641.8,642.8
3.10.0-RC1-bin-20260722-6cab7a4-NIGHTLY,10,645,646.3,647.5
3.10.0-RC1-bin-20260723-7c8ee3c-NIGHTLY,10,632,634,640.9
3.10.0-RC1-bin-20260724-4dae250-NIGHTLY,10,640.3,645.3,648.7
3.10.0-RC1-bin-20260725-a036a3a-NIGHTLY,10,642.9,656.2,702
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,642.8,643.6,644.6
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,640.3,641.3,642.9
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,652.8,664.6,672.4
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,625.9,636.7,646.1
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,634.3,647,655.6
3.10.0-RC1-bin-20260801-aac9dc1-NIGHTLY,30,602.3,608,627.9
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,609.4,615.4,618.9
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,10,601.1,603.3,606.7
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,20,573.2,592.4,655.7
3.10.0-RC1-bin-20260806-266b5b3-NIGHTLY,10,574.2,575.5,579
3.10.0-RC1-bin-20260807-d458115-NIGHTLY,10,585,590,600.9
3.10.0-RC1-bin-20260808-750cfa2-NIGHTLY,10,578.1,579,580.3
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,577.4,587.8,593.9
3.10.0-RC1-bin-20260810-83a640d-NIGHTLY,20,580.2,587.6,594.4
3.10.0-RC1-bin-20260812-7adc7af-NIGHTLY,10,572.3,573,573.9
3.10.0-RC1-bin-20260813-afdb1e2-NIGHTLY,20,580.8,584.7,587.6
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,677.1,678.8,679.6
3.10.0-RC1-bin-20260817-3adfcbd-NIGHTLY,50,690.4,700.4,714.6
3.10.0-RC1-bin-20260819-a41f393-NIGHTLY,20,673.8,680.1,686.2
3.10.0-RC1-bin-20260821-4a10e52-NIGHTLY,10,678.9,680.3,681.2
