version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,20,137.8,143.6,240.4
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,20,139.2,144.1,209.6
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,20,137.8,144.1,235.7
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,60,137.4,144.2,242.5
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,60,137.3,143.2,238.9
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,20,137.5,142.2,208.8
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,60,138,144,235.9
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,20,137.2,143.8,238.2
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,20,138,143.9,235.9
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,20,139.2,144.8,229.2
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,20,138.5,144,227
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,60,137.6,143.8,238.2
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,139.4,140.2,141.3
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,139.9,140.3,141.5
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,137.8,138.2,139.5
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,138.2,139.8,142.5
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,138.8,139,139.6
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,138.4,138.7,139.9
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,138.5,139.2,140.5
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,138.5,139.5,141
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,139.2,139.8,141
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,138.6,139,139.4
