version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,10,407,410.1,417.3
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,10,406.7,410,417
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,10,407,410.2,416.2
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,30,406.8,409.2,428.7
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,30,406.7,409.8,418
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,10,407.1,410.3,419.3
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,30,407.1,409.1,418
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,10,406.9,408.2,411.8
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,10,407.5,411.2,418.6
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,10,407,410.1,418.9
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,10,410.3,412.1,415
