version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,10,29.57,29.81,30.33
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,10,29.68,29.98,30.27
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,10,29.54,29.64,29.76
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,30,29.41,29.69,30.39
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,30,29.42,29.87,30.42
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,10,29.58,29.76,29.98
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,30,29.51,29.77,30.16
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,10,29.47,29.63,29.84
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,10,29.58,29.93,30.17
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,10,29.67,29.77,29.94
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,10,29.47,29.67,29.82
3.10.0-RC1-bin-20260720-b41994a-NIGHTLY,30,29.42,29.75,30.24
3.10.0-RC1-bin-20260726-a036a3a-NIGHTLY,10,29.36,29.7,30.4
3.10.0-RC1-bin-20260727-a036a3a-NIGHTLY,10,29.36,29.54,29.8
3.10.0-RC1-bin-20260728-b827509-NIGHTLY,10,29.2,29.34,29.45
3.10.0-RC1-bin-20260729-8526f78-NIGHTLY,20,29.12,29.45,29.78
3.10.0-RC1-bin-20260731-ddd6514-NIGHTLY,10,29.14,29.4,29.81
3.10.0-RC1-bin-20260802-11ca8f7-NIGHTLY,10,29.1,29.45,29.74
3.10.0-RC1-bin-20260803-11ca8f7-NIGHTLY,20,29.07,29.49,30.52
3.10.0-RC1-bin-20260804-9db016f-NIGHTLY,10,29.18,29.4,29.61
3.10.0-RC1-bin-20260809-34f2030-NIGHTLY,10,29.23,29.42,29.64
3.10.0-RC1-bin-20260816-3adfcbd-NIGHTLY,10,29.29,29.46,29.72
3.10.0-RC1-bin-20260823-e47290a-NIGHTLY,10,29.3,29.48,29.72
