version,count,min,avg,max
3.10.0-RC1-bin-20260531-c26a453-NIGHTLY,10,100.7,101.1,104.2
3.10.0-RC1-bin-20260607-dec42ae-NIGHTLY,10,99.97,100.4,103.3
3.10.0-RC1-bin-20260609-b34a019-NIGHTLY,10,100.5,101,104
3.10.0-RC1-bin-20260616-4733954-NIGHTLY,30,100.2,102.3,106.1
3.10.0-RC1-bin-20260618-f4f2cf3-NIGHTLY,30,99.91,105.7,116.5
3.10.0-RC1-bin-20260621-b3a04ea-NIGHTLY,10,102.1,102.5,105.5
3.10.0-RC1-bin-20260625-83306a8-NIGHTLY,30,99.91,105.2,111.5
3.10.0-RC1-bin-20260628-e449094-NIGHTLY,10,104.5,105.1,108.3
3.10.0-RC1-bin-20260701-14f4239-NIGHTLY,10,99.88,100.3,103
3.10.0-RC1-bin-20260712-f51c618-NIGHTLY,10,107.4,108.1,111.2
3.10.0-RC1-bin-20260718-b17ee7a-NIGHTLY,10,102.6,103,105.6
