version,count,min,avg,max
3.10.1-RC1-bin-20260829-2106c16-NIGHTLY,10,431,541.3,698
3.10.1-RC1-bin-20260830-c853a31-NIGHTLY,10,317,436.4,799
3.10.1-RC1-bin-20260831-e175c46-NIGHTLY,10,451,537.7,669
3.10.1-RC1-bin-20260901-0f14678-NIGHTLY,10,430,520,677
3.10.1-RC1-bin-20260902-39d1391-NIGHTLY,10,333,462.7,625
3.10.1-RC1-bin-20260903-297c812-NIGHTLY,10,403,526.7,812
3.10.1-RC1-bin-20260904-3dd457e-NIGHTLY,10,322,428.9,565
3.10.1-RC1-bin-20260905-8163579-NIGHTLY,40,392,521.9,829
3.10.1-RC1-bin-20260909-69251c8-NIGHTLY,20,347,529.6,995
3.10.1-RC1-bin-20260912-01289f1-NIGHTLY,10,397,517.7,697
3.10.1-RC1-bin-20260913-01289f1-NIGHTLY,10,326,480,840
3.10.1-RC1-bin-20260914-01289f1-NIGHTLY,10,404,524.6,844
3.10.1-RC1-bin-20260915-71a210d-NIGHTLY,30,354,513.2,968
3.10.1-RC1-bin-20260918-035a05a-NIGHTLY,30,265,488.7,933
3.10.1-RC1-bin-20260923-4cf8dc0-NIGHTLY,10,395,476.1,660
3.10.1-RC1-bin-20260924-a5f50ba-NIGHTLY,10,319,450.1,725
