version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,36.36,36.47,36.62
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,36.46,36.46,36.47
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,36.56,36.56,36.57
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,36.57,36.58,36.58
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,36.47,36.47,36.47
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,36.42,36.42,36.42
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,36.39,36.49,36.61
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,36.56,36.56,36.56
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,36.59,36.6,36.6
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,30,36.57,36.62,36.64
3.8.3-RC1-bin-20260218-d96239a-NIGHTLY,20,36,36.01,36.02
