version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,15,103.4,331
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,29,118.3,349
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,13,91.2,324
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,15,83.9,261
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,27,120.1,342
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,13,82.5,296
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,27,123.5,354
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,22,119.9,332
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,25,122.5,318
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,30,13,100,305
3.8.3-RC1-bin-20260218-d96239a-NIGHTLY,20,11,92.8,290
