version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,5,24.97,82
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,4,25,76
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,4,22.7,70
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,6,24,65
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,7,21.8,60
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,2,22.9,70
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,4,20.6,67
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,4,26.7,65
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,6,21.9,75
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,10,5,29.4,65
