version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,1,45.43,170
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,0,45.4,148
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,6,53.8,153
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,2,44,105
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,1,46.5,112
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,1,78.1,200
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,1,37.95,160
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,5,63.7,171
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,3,61.4,151
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,30,5,45.23,153
3.8.3-RC1-bin-20260218-d96239a-NIGHTLY,20,2,35.8,146
