version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,168.7,175.3,186.6
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,171.1,172.8,174.1
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,169.1,170.1,170.6
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,171.1,172.7,174.8
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,173.8,174.6,175.5
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,167.5,175,183
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,174.1,179.2,186.8
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,170.7,171.5,172.4
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,172.1,173,173.7
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,30,170.9,173.6,175.8
3.8.3-RC1-bin-20260218-d96239a-NIGHTLY,20,172.5,174.1,175.9
