version,count,min,avg,max
3.8.3-RC1-bin-20260206-7d9042f-NIGHTLY,30,21,21.92,25.04
3.8.3-RC1-bin-20260207-b47447b-NIGHTLY,10,21.45,21.49,21.63
3.8.3-RC1-bin-20260208-0fa0698-NIGHTLY,10,21.41,21.92,25.29
3.8.3-RC1-bin-20260209-c5506bd-NIGHTLY,10,22.69,23.08,25.62
3.8.3-RC1-bin-20260210-f9a3b90-NIGHTLY,10,21.37,21.53,22.42
3.8.3-RC1-bin-20260211-dd4d59d-NIGHTLY,10,21.51,21.69,22.3
3.8.3-RC1-bin-20260212-9907571-NIGHTLY,20,23.98,24.89,28.19
3.8.3-RC1-bin-20260214-f10f20d-NIGHTLY,10,21.53,21.67,21.74
3.8.3-RC1-bin-20260215-f10f20d-NIGHTLY,10,21.37,21.57,22.37
3.8.3-RC1-bin-20260216-fa26a2f-NIGHTLY,10,22.16,22.25,22.46
