version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,574,574,574
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,572.6,572.6,572.7
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,569.9,569.9,569.9
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,572.7,572.7,572.7
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,572.6,572.7,572.7
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,573.6,573.6,573.6
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,574,575.1,576.3
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,573.1,573.1,573.2
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,573.7,573.7,573.8
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,573.3,573.3,573.3
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,572.4,573.5,574.5
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,572,572,572
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,576.2,576.2,576.2
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,576.3,576.3,576.4
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,575.5,575.5,575.5
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,575,575,575
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,575.7,575.7,575.8
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,574.2,574.2,574.2
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,576.3,576.3,576.3
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,575.4,576.7,578.2
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,576.8,576.8,576.8
