version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,471.3,471.4,471.4
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,470.8,470.8,470.8
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,471.9,472,472
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,472.1,472.2,472.2
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,471.2,471.2,471.2
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,472.2,472.2,472.6
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,471.8,472.1,472.7
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,470.5,470.6,470.9
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,472.1,472.1,472.1
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,480.1,480.2,480.2
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,471,471.1,471.5
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,471.4,471.5,471.5
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,471.4,471.4,471.8
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,473.7,473.8,474.1
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,474.4,474.5,474.8
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,478.9,479,479.4
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,483.2,483.2,483.6
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,479.2,479.2,479.2
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,478.5,478.5,478.5
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,471,473,477
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,471.2,471.2,471.6
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,472.2,472.2,472.6
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,470.9,471,471.4
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,471.6,471.6,471.6
