version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,640,640.1,640.1
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,643.7,643.7,643.8
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,640.9,640.9,640.9
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,638.8,638.8,639
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,637.8,637.9,638
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,639.3,639.3,639.4
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,638.8,639.4,640.1
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,632.7,632.7,632.8
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,636.3,636.3,636.4
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,634.7,634.7,634.9
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,632.6,634.4,636.2
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,633.1,633.2,633.3
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,634.8,634.9,635
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,636.8,636.8,637
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,640,640,640.1
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,638.9,639,639.1
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,637.6,637.6,637.7
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,638.8,638.8,638.9
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,635.7,635.7,635.8
