version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,45.41,45.42,45.42
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,45.44,45.45,45.45
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,45.38,45.39,45.39
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,45.39,45.4,45.4
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,45.35,45.36,45.36
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,45.35,45.35,45.35
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,45.46,45.55,45.64
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,44.74,44.75,44.75
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,44.46,44.47,44.47
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,44.58,44.58,44.59
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,44.55,44.56,44.57
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,44.28,44.29,44.29
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,44.56,44.57,44.57
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,44.42,44.42,44.42
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,44.37,44.38,44.38
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,44.4,44.41,44.41
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,44.44,44.45,44.45
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,44.84,44.85,44.85
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,45.07,45.08,45.08
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,44.93,45.01,45.06
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,44.81,44.82,44.82
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,45.09,45.1,45.1
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,44.91,44.91,44.91
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,44.95,44.95,44.95
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,44.87,44.88,44.88
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,20,44.88,44.88,44.88
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,20,44.92,44.92,44.92
