version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,901,1106,1465
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,948,1108,1522
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,877,1054,1334
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,899,1028,1364
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,898,1048,1344
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,874,1018,1330
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,897,1089,1591
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,873,1066,1443
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,965,1141,1504
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,935,1125,1480
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,903,1083,1548
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,966,1132,1506
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,945,1117,1462
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,915,1039,1314
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,921,1111,1383
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,932,1100,1432
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,893,1038,1324
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,938,1069,1389
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,977,1105,1547
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,882,1089,1432
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,977,1126,1455
