version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,0,70.4,306
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,1,54,161
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,1,56.4,160
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,1,51.6,162
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,1,56.8,161
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,1,58.05,160
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,3,56.1,153
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,1,49.45,170
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,2,51.9,150
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,0,60.2,161
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,2,55.75,181
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,1,50.9,166
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,1,51.2,173
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,2,61.35,289
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,0,51.9,160
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,0,53.1,169
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,1,51.7,162
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,0,47.95,154
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,0,62.25,165
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,0,61.91,310
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,0,61.75,164
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,8,55.85,154
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,0,51.9,190
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,1,67.25,330
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,20,2,65.3,365
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,20,1,46.75,154
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,20,0,57.1,231
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,20,0,62.4,273
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,20,0,71.35,333
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,60,0,58.72,244
3.8.4-RC1-bin-20260325-d8804d4-NIGHTLY,20,2,64.75,294
3.8.4-RC1-bin-20260326-5d03b33-NIGHTLY,20,1,62.05,285
3.8.4-RC1-bin-20260327-e0dd739-NIGHTLY,20,0,63.1,296
3.8.4-RC1-bin-20260328-e0dd739-NIGHTLY,20,0,54.95,159
3.8.4-RC1-bin-20260329-83feab2-NIGHTLY,40,0,54.48,180
3.8.4-RC1-bin-20260331-724e9c3-NIGHTLY,20,0,56.05,183
3.8.4-RC1-bin-20260401-fc4cd08-NIGHTLY,20,0,56.8,184
