version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,1,75.15,512
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,1,63.65,267
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,1,84.2,696
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,2,88.9,721
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,4,61.25,227
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,2,74.5,492
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,3,60.85,241
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,0,82.15,665
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,0,61,166
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,0,69.55,455
