version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,1,25.15,91
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,2,24.05,103
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,3,28.35,100
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,3,23.6,100
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,3,23.3,99
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,0,22.65,96
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,0,24.5,116
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,1,21.6,72
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,2,26.35,80
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,1,23,77
