version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,0,26.35,78
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,0,25.35,79
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,0,29.45,90
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,2,37.4,120
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,0,24.15,77
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,0,29.25,98
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,0,27,82
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,0,35.5,110
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,0,25.2,108
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,0,30.95,74
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,0,28.65,81
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,0,25.2,84
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,0,33.15,90
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,0,24.1,78
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,1,35.7,86
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,0,23.7,77
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,1,26.9,111
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,0,32.6,78
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,0,29.95,80
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,0,31.71,79
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,1,24.15,72
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,0,32.5,71
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,0,22.85,72
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,0,27.45,98
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,0,31.25,79
