version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,0,35.7,95
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,3,38.5,115
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,0,29.85,88
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,1,34.05,82
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,1,35,118
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,3,26.95,54
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,0,30.3,73
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,0,36,85
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,0,28.95,73
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,0,34,110
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,0,29.05,87
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,0,37.05,123
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,0,25.8,80
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,0,30.55,64
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,0,29.75,111
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,1,31.05,93
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,0,29.5,73
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,1,28.7,91
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,1,30.35,109
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,0,32.25,121
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,0,33.8,112
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,0,24.4,70
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,0,26.85,67
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,0,32.75,102
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,1,35.4,117
