version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,20,175.3,632
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,48,173.6,725
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,45,183.7,820
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,28,196.4,630
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,29,180.9,707
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,30,171.7,687
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,30,171.5,756
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,32,194.3,770
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,26,165,665
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,27,169.1,669
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,24,181.2,733
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,31,188.7,730
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,50,183.6,692
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,24,192.2,663
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,22,180.4,820
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,25,168.8,737
