version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,590.1,618.3,672.3
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,550.8,564.4,627.1
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,555.8,565.4,624.1
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,550,554.4,564.6
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,546.5,554.4,559.4
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,552,566.9,599
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,559.9,582.5,615.2
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,543.6,547,551.6
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,551,553.8,557.1
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,550.6,553.8,557.1
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,545,553.9,592.8
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,554.8,572.5,622.4
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,561.1,565.9,582.3
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,548.7,551.4,555.3
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,555,561.9,623.4
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,552.6,559.4,596.4
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,546.1,552.7,557.3
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,558.1,578,596.8
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,550.7,553.3,555
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,543.5,554.4,571.3
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,552.3,563.8,576.7
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,556,564.3,606.8
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,548.7,556.1,562.1
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,559.5,565.1,568
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,20,554.1,563.8,589.8
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,20,555.6,558.6,560.8
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,20,553.1,557,571.8
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,20,551.8,578,596.8
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,20,556.8,567,582.9
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,60,552.1,567.8,590
