version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,238.5,240.8,242.2
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,236.6,240,242.2
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,238.9,243.1,273.7
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,243.1,247.4,260.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,244.3,246.7,248.1
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,240.3,243.4,249.9
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,237.6,246.6,262.7
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,241.8,244.7,249.1
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,239.4,242.5,246.6
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,241,248.7,261.5
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,237,243.4,275.8
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,250.4,256.9,310.1
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,238,241.1,251.6
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,241.8,245.7,253.5
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,238.1,245.5,274.8
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,242,244.6,248.1
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,20,240.4,245.3,256.6
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,20,236.6,238.3,244.7
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,20,241.5,246.3,257.4
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,80,236.6,244.4,274.9
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,20,241.5,246.3,269.3
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,20,242.6,245.5,247.7
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,20,241.3,243.9,246.7
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,20,236.9,242.5,257.9
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,20,243.2,246.5,268.5
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,20,237,238.7,243.7
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,20,240.9,246.7,277
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,20,238.3,243.7,251.1
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,20,246.4,250.4,257.1
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,20,239.8,244.1,246.7
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,60,241.7,253.4,311.9
3.8.4-RC1-bin-20260325-d8804d4-NIGHTLY,20,244.7,254.4,262
3.8.4-RC1-bin-20260326-5d03b33-NIGHTLY,20,238.6,244.8,257.6
3.8.4-RC1-bin-20260327-e0dd739-NIGHTLY,20,248.1,251.6,254.9
3.8.4-RC1-bin-20260328-e0dd739-NIGHTLY,20,236.9,240,246.1
