version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,162.1,165,174
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,168.2,171.6,173.7
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,163.7,164.8,168.2
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,157.1,158.8,165
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,157.7,162.5,171.3
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,161.9,163.8,164.7
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,159.8,161.7,169.4
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,160.5,163.9,172.4
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,157.5,160.6,182.8
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,160.8,161.8,166.6
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,40,164.8,172,190.8
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,20,161.6,163.7,169.9
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,20,163.1,164,165.2
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,20,162.9,164.2,165.3
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,20,160.4,161.6,163.5
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,20,157.2,158.6,160.1
