version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,116.4,117.5,119.3
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,117.3,118.5,119.9
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,119.4,121.4,132.7
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,116.4,117.7,119.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,118.5,120.1,121.3
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,124.2,126,127.7
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,118.2,120.6,133.5
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,116.3,118.4,132.5
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,124.1,125.4,126.7
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,117,119.5,134.1
