version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,10,21.71,21.83,22.03
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,10,21.12,21.69,21.96
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,10,21.44,21.67,22
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,10,21.64,21.77,21.9
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,10,21.7,21.92,22.12
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,10,21.62,21.88,22.1
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,20,20.97,21.77,22.01
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,10,21.35,21.65,21.83
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,10,21.56,21.82,21.98
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,10,21.46,21.71,21.86
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,20,21.44,21.81,22.12
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,10,21.61,21.82,22.14
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,10,21.54,21.69,21.86
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,10,21.49,21.64,21.86
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,10,21,21.48,21.9
