version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,10,23.12,23.22,23.47
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,10,23.06,23.17,23.45
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,10,23.09,23.26,23.57
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,10,23.25,23.34,23.57
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,10,23.1,23.23,23.54
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,10,22.88,23.12,23.67
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,20,22.74,22.96,23.39
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,10,23.01,23.17,23.5
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,10,22.74,22.86,23.16
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,10,22.96,23.12,23.52
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,20,22.71,23,23.47
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,10,23.09,23.26,23.66
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,10,22.77,22.93,23.29
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,10,22.8,22.97,23.34
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,10,22.71,22.83,23.13
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,10,22.8,22.94,23.25
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,10,23.87,24.24,24.73
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,10,22.96,23.08,23.35
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,10,23.21,23.36,23.72
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,40,22.99,23.43,24.34
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,10,23.03,23.19,23.55
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,10,23.03,23.18,23.49
