version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,10,111.3,119.9,169.8
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,10,111.1,119.6,177.4
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,10,110.2,118.8,182.2
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,10,112.2,120.7,165.7
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,10,109.6,118.6,185.6
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,10,112.5,120.9,159.6
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,20,108.2,117.9,191.3
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,10,112.4,121.1,160.2
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,10,111.1,119.7,174.1
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,10,111.7,120.4,171.6
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,20,110.2,119,176.2
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,10,111.4,120,163.3
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,10,109.5,118.3,188.1
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,10,114.5,116.2,128.1
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,10,113.1,122.1,165.9
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,10,112.9,121.6,167
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,10,110.3,118.9,176.1
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,10,109.1,117.9,194
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,10,110.9,119.6,177.2
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,40,110.5,118.7,180
3.8.4-RC1-bin-20260313-3be6338-NIGHTLY,10,111.5,120.5,168.5
