version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,20,193.9,214,325.5
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,20,220.7,225.2,288.1
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,20,195.4,196.9,202.3
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,20,194.4,198.7,236.1
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,20,197.6,201.4,254.7
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,20,195.1,204.5,329.1
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,40,195.1,200.5,259
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,20,194.8,198.6,252.8
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,20,193.5,194.4,200.4
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,20,195.8,205.3,267.9
