version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,10,8.518,8.529,8.548
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,10,8.524,8.536,8.576
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,10,8.516,8.53,8.566
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,10,8.518,8.546,8.631
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,10,8.518,8.529,8.577
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,10,8.516,8.533,8.565
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,20,8.519,8.527,8.548
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,10,8.525,8.538,8.565
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,10,8.512,8.533,8.563
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,10,8.522,8.533,8.562
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,20,8.52,8.535,8.574
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,10,8.519,8.538,8.551
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,10,8.519,8.533,8.571
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,10,8.515,8.53,8.553
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,10,8.514,8.525,8.553
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,10,8.521,8.538,8.567
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,10,8.519,8.533,8.549
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,10,8.52,8.535,8.558
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,10,8.52,8.529,8.543
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,40,8.512,8.529,8.578
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,10,8.518,8.537,8.555
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,10,8.515,8.528,8.55
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,10,8.517,8.526,8.545
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,10,8.52,8.533,8.573
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,10,8.522,8.532,8.547
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,10,8.52,8.529,8.557
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,10,8.519,8.524,8.532
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,10,8.522,8.536,8.571
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,10,8.523,8.539,8.58
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,30,8.515,8.535,8.624
3.8.4-RC1-bin-20260325-d8804d4-NIGHTLY,10,8.522,8.535,8.545
3.8.4-RC1-bin-20260326-5d03b33-NIGHTLY,10,8.519,8.533,8.555
3.8.4-RC1-bin-20260327-e0dd739-NIGHTLY,10,8.516,8.537,8.588
