version,count,min,avg,max
3.8.4-RC1-bin-20260219-56c2020-NIGHTLY,10,25.7,25.92,26.28
3.8.4-RC1-bin-20260220-3a6dac8-NIGHTLY,10,25.7,26.05,26.66
3.8.4-RC1-bin-20260221-dd3cd80-NIGHTLY,10,26.43,26.52,27.08
3.8.4-RC1-bin-20260222-dd3cd80-NIGHTLY,10,25.73,26.06,26.68
3.8.4-RC1-bin-20260223-dd3cd80-NIGHTLY,10,26.48,26.62,27.11
3.8.4-RC1-bin-20260224-8c0034e-NIGHTLY,10,26.45,26.56,27.08
3.8.4-RC1-bin-20260226-c0af6f4-NIGHTLY,20,24.96,25.62,26.66
3.8.4-RC1-bin-20260227-4e9c706-NIGHTLY,10,25.69,25.74,25.8
3.8.4-RC1-bin-20260228-f302695-NIGHTLY,10,25.67,25.86,26.29
3.8.4-RC1-bin-20260301-3ce1b51-NIGHTLY,10,26.46,26.55,27.06
3.8.4-RC1-bin-20260302-b5d15ac-NIGHTLY,20,24.91,25.98,27.27
3.8.4-RC1-bin-20260303-4800b1c-NIGHTLY,10,24.98,25.13,25.39
3.8.4-RC1-bin-20260304-1311fb5-NIGHTLY,10,25.7,26.04,26.61
3.8.4-RC1-bin-20260305-201be8f-NIGHTLY,10,25.7,26.03,26.26
3.8.4-RC1-bin-20260306-87a4a8b-NIGHTLY,10,25.66,25.88,26.56
3.8.4-RC1-bin-20260307-2d2adb7-NIGHTLY,10,25.71,25.75,25.87
3.8.4-RC1-bin-20260308-bf48ee8-NIGHTLY,10,26.51,26.72,27.36
3.8.4-RC1-bin-20260309-5b0f56d-NIGHTLY,10,25.65,25.82,26.29
3.8.4-RC1-bin-20260310-478cafe-NIGHTLY,10,26.45,26.57,27.1
3.8.4-RC1-bin-20260311-f6ca933-NIGHTLY,40,25.69,26.06,27.16
3.8.4-RC1-bin-20260314-9b6c1d5-NIGHTLY,10,26.44,26.55,27.03
3.8.4-RC1-bin-20260315-d5b79ba-NIGHTLY,10,26.43,26.58,27.04
3.8.4-RC1-bin-20260316-d5b79ba-NIGHTLY,10,26.45,26.63,27.56
3.8.4-RC1-bin-20260317-9a56448-NIGHTLY,10,25.12,25.43,25.76
3.8.4-RC1-bin-20260318-61c882b-NIGHTLY,10,25.7,25.97,26.22
3.8.4-RC1-bin-20260319-2a84a92-NIGHTLY,10,25.04,25.3,25.79
3.8.4-RC1-bin-20260320-715b38a-NIGHTLY,10,26.46,26.56,27.12
3.8.4-RC1-bin-20260321-c486a97-NIGHTLY,10,25.71,25.95,26.4
3.8.4-RC1-bin-20260322-102c7c6-NIGHTLY,10,25.71,25.92,26.64
3.8.4-RC1-bin-20260323-16cd4d9-NIGHTLY,10,25.68,26.08,26.28
