version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,228,228.1,228.1
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,228.6,228.6,228.7
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,228.3,228.4,228.4
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,229.1,229.1,229.1
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,229.4,229.5,229.5
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,239.4,239.4,239.4
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,239.1,239.1,239.1
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,238.3,238.5,238.6
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,240.3,240.4,240.5
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,239.1,239.2,239.4
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,237.1,237.2,237.3
