version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,66.49,66.5,66.51
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,66.29,66.3,66.3
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,65.43,65.44,65.45
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,66.48,66.48,66.49
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,66.42,66.43,66.43
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,66.78,66.79,66.8
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,40,66.83,66.91,66.98
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,65.78,65.79,65.79
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,66.89,66.9,66.9
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,66.77,66.78,66.79
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,66.88,66.88,66.89
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,66.67,66.68,66.69
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,65.78,65.79,65.8
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,66.74,66.75,66.75
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,65.73,66.19,66.66
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,66.75,66.76,66.77
3.8.5-RC1-bin-20260421-d23d5ef-NIGHTLY,20,66.6,66.61,66.62
