version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,641.7,641.7,641.8
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,641.1,641.2,641.2
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,641.3,641.3,641.4
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,644,644.1,644.2
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,641.7,641.8,641.8
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,660.7,660.7,660.9
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,661.3,661.4,661.5
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,659.3,659.6,659.9
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,659.3,659.4,659.6
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,662.3,662.4,662.5
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,654.9,654.9,655
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,654,654.1,654.1
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,654.4,654.5,654.6
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,654.5,654.6,654.6
