version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,2,37.3,102
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,1,29.55,82
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,2,33.3,89
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,2,35.4,134
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,1,29.35,88
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,3,33.35,98
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,2,36,153
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,1,32.58,101
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,3,33.25,88
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,2,29.3,88
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,1,31.5,129
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,0,31.1,109
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,1,31.25,128
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,1,32.35,105
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,1,30.18,87
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,1,32.55,113
