version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,0,23.35,75
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,0,27.65,86
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,0,27.15,77
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,0,26.4,77
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,2,28.35,87
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,3,27.9,95
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,1,23.85,105
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,1,25.93,97
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,2,24.3,92
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,1,25.15,84
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,0,26.8,78
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,1,25.05,90
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,1,24.05,81
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,0,26.35,77
