version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,2,35.2,114
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,5,43,114
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,6,40.7,115
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,2,41.95,119
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,2,45,111
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,1,43.6,120
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,20,8,44.3,122
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,40,2,39.73,112
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,5,38.9,147
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,5,44.45,108
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,6,45.45,112
