version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,1335,1343,1375
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,1306,1325,1386
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,1316,1347,1446
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,1323,1336,1376
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,1285,1293,1327
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,1296,1306,1318
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,40,1307,1347,1524
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,1301,1307,1312
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,1292,1309,1439
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,1288,1300,1416
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,1301,1321,1364
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,1314,1329,1341
3.8.5-RC1-bin-20260416-778e9be-NIGHTLY,20,1299,1326,1452
3.8.5-RC1-bin-20260417-49b4241-NIGHTLY,20,1292,1313,1434
3.8.5-RC1-bin-20260418-8d71af7-NIGHTLY,40,1315,1336,1639
3.8.5-RC1-bin-20260420-a3bfb09-NIGHTLY,20,1296,1299,1310
3.8.5-RC1-bin-20260421-d23d5ef-NIGHTLY,20,1312,1317,1323
3.8.5-RC1-bin-20260422-7154a4d-NIGHTLY,20,1313,1377,1910
