version,count,min,avg,max
3.8.5-RC1-bin-20260403-ecf8e5c-NIGHTLY,20,3314,3385,3514
3.8.5-RC1-bin-20260404-a7f6cae-NIGHTLY,20,3319,3324,3368
3.8.5-RC1-bin-20260405-9478256-NIGHTLY,20,3301,3306,3338
3.8.5-RC1-bin-20260406-2c668b5-NIGHTLY,20,3281,3285,3288
3.8.5-RC1-bin-20260407-ec88c95-NIGHTLY,20,3366,3412,3494
3.8.5-RC1-bin-20260408-cc4a3e6-NIGHTLY,20,3364,3387,3573
3.8.5-RC1-bin-20260409-c23f234-NIGHTLY,40,3314,3401,3576
3.8.5-RC1-bin-20260410-e679e6a-NIGHTLY,20,3373,3386,3543
3.8.5-RC1-bin-20260412-0f8dfa1-NIGHTLY,20,3274,3285,3311
3.8.5-RC1-bin-20260413-0f8dfa1-NIGHTLY,20,3368,3392,3483
3.8.5-RC1-bin-20260414-ffb1a63-NIGHTLY,20,3330,3382,3490
3.8.5-RC1-bin-20260415-d1c28e4-NIGHTLY,20,3280,3319,3425
